id,repo,title,family_id,disposition,previously_exposed,bounded_claim,challenge,screening_reason,reference_url,code_urls,disclosure_review,fixture_status
N01,netbox,"Brief serializers, stale guidance and retained special cases",netbox/serializer-representation,control,True,Ordinary nested relationships can reuse primary serializers using nested=True and brief_fields; specialised nested serializers still exist. Identify the conflicting style guide if documents are available.,Ordinary related object versus specialised representation; identify the allowed route without banning every retained class.,Conflict case: competing documentation and retained exceptions.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/plugins/development/migration-v4.md#L227,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/api/serializers/base.py#L17 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/ipam/api/serializers_/asns.py#L16 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/ipam/api/serializers_/nested.py#L13,Pending semantic review; lexical triage recorded,Not built
N02,netbox,Model validation belongs in clean with inherited validation retained,netbox/model-validation,advance,True,Model-level additional validation uses clean and calls inherited clean; callers still need a validation path such as full_clean.,Add a model invariant used through multiple entry points; retain inherited validation.,Model validation and inherited behavior; source access and realistic caller fixture required.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/development/extending-models.md#L34,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/dcim/models/racks.py#L39 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/dcim/models/sites.py#L24 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/models/__init__.py#L25 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/api/serializers/base.py#L17,Pending semantic review; lexical triage recorded,Not built
N03,netbox,Feature composition permits both full and selective mixins,netbox/feature-composition,advance,True,NetBoxModel bundles features; a plugin can compose a subset using feature mixins and a Django model base. Feature registration follows inheritance.,A plugin model requiring only two features must not be forced into the full feature bundle.,"Selective capability composition, rather than compulsory full base class.",https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/plugins/development/models.md#L69,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/models/__init__.py#L25 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/models/features.py#L49,Pending semantic review; lexical triage recorded,Not built
N04,netbox,ObjectType convention has a GenericForeignKey exception,netbox/content-type-boundary,advance,True,Use the ObjectType proxy for ordinary object-type operations; the concrete content-type FK backing a generic relationship points to Django ContentType.,Compare a feature-selection relation and a GenericForeignKey backing field.,Concrete/proxy exception at generic relationship boundary.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/plugins/development/migration-v4.md#L25,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/core/models/contenttypes.py#L12 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/extras/models/customfields.py#L53 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/tenancy/models/contacts.py#L20 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/extras/models/models.py#L45,Pending semantic review; lexical triage recorded,Not built
N05,netbox,"Private model flag controls catalogue inclusion, not blanket authorisation",netbox/model-catalogue,advance,True,_netbox_private excludes the model from registry[models] and the public object-type catalogue. Feature registration is a separate loop.,A hidden support model can retain feature registration; distinguish catalogue hiding from permissions.,Catalogue visibility is separate from access control.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/plugins/development/models.md#L65,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/models/features.py#L49 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/core/models/contenttypes.py#L12 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/extras/models/tags.py#L24,Pending semantic review; lexical triage recorded,Not built
N06,netbox,Script dry-run rollback is bounded to database transaction behaviour,netbox/script-transactions,advance,True,"ScriptJob wraps the call in a transaction and aborts that transaction when commit is false. This does not establish rollback of emails, files, network calls or every database connection.",A script writes a model and emits an external event: distinguish which operation is protected.,Database transaction boundary does not cover arbitrary external effects.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/customization/custom-scripts.md#L51,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/extras/jobs.py#L16 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/extras/scripts.py#L51 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/utilities/exceptions.py#L13,Pending semantic review; lexical triage recorded,Not built
N07,netbox,Field propagation depends on intended surfaces,netbox/field-propagation,control,True,"Consider API, forms, filters, tables and search; update each surface when required by the field purpose. Code can reveal existing mappings, not every future product requirement.","One field is internal-only, another must be editable and filterable; compare obligations supplied in each task.",Exposure depends on intended use; no universal every-field-everywhere rule.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/development/extending-models.md#L66,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/dcim/models/sites.py#L24 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/dcim/api/serializers_/sites.py#L21 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/dcim/forms/filtersets.py#L63 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/dcim/filtersets.py#L86 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/dcim/tables/sites.py#L22,Pending semantic review; lexical triage recorded,Not built
N08,netbox,Registry mutability contract and enforcement gap,netbox/registry-enforcement,control,True,Normal item assignment/deletion is blocked while nested store values remain mutable. The documented intent is stronger than enforcement through inherited dict methods.,"Contrast item replacement, nested mutation and inherited update; flag the implementation gap rather than invent permission to bypass.","Local dictionary enforcement gap; useful conflict control, not headline architecture.",https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/development/application-registry.md#L5,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/registry.py#L5 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/models/features.py#L49,Pending semantic review; lexical triage recorded,Not built
N09,netbox,Supported plugin API is a compatibility commitment,netbox/api-authority,control,True,"Code reveals importable interfaces and usage. Without the support-policy record, it cannot establish the exact documented compatibility boundary; request authority.",An importable internal utility is convenient; code-only answer must not promise long-term compatibility.,Hidden compatibility promise cannot be established by code.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/plugins/development/index.md#L26,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/plugins/__init__.py#L43 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/netbox/netbox/models/__init__.py#L25,Pending semantic review; lexical triage recorded,Not built
N10,netbox,Dependency acceptance includes a one-year maintenance criterion,netbox/dependency-authority,control,True,"Pins and existing dependencies are observable; the release-age threshold, licence acceptability and procurement rationale require external policy evidence.",Two otherwise similar dependencies differ in release age; code alone cannot supply the governing cutoff.,Hidden dependency threshold cannot be established from installed versions.,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/docs/development/style-guide.md#L58,https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/base_requirements.txt#L1 ; https://github.com/netbox-community/netbox/blob/ea4c205a37baa3e58e6e481158c15c6154cceeff/requirements.txt#L1,Pending semantic review; lexical triage recorded,Not built
