"issue","closedAt","pr","fate","clause","title"
"23059","2026-08-31T12:39:16Z",,"EXCLUDED","4d not closed-as-completed","Authentification loop when installed on a subpath"
"23066","2026-08-28T20:18:12Z","23069","EXCLUDED","2a no test file in diff","Problem with Redis + Sentinel"
"23035","2026-08-28T14:12:56Z","23058","EXCLUDED","2a no test file in diff","Active sidenav section remains collapsed after resizing from mobile to desktop"
"23052","2026-08-28T12:44:04Z","23056","SURVIVOR","","PowerOutlet form renders the owner field twice and does not save the selected owner"
"22671","2026-08-28T12:37:37Z","23048","SURVIVOR","","Selecting multiple Site Groups in the VLAN Groups filter does not display the full output."
"23038","2026-08-27T22:12:54Z","23051","SURVIVOR","","Static files: Cache-busting breaks S3 presigned URLs"
"23043","2026-08-27T20:36:06Z","23055","SURVIVOR","","Error when creating front ports with a range of numbers"
"23042","2026-08-27T15:52:18Z",,"EXCLUDED","1 no single merged fixing PR (count=0)","405 method not allowed on SSO login with v4.7.0 beta (social-auth-app-django v6)"
"22995","2026-08-27T12:43:23Z",,"EXCLUDED","4d not closed-as-completed","UI and API return differing values for the errored record on bulk object creation"
"22960","2026-08-27T11:36:13Z",,"EXCLUDED","4d not closed-as-completed","Request timeout when creating a custom field with default value for millions of objects"
"22996","2026-08-27T11:35:30Z",,"EXCLUDED","4d not closed-as-completed","Request timeout when deleting a custom field for millions of objects"
"23036","2026-08-26T18:42:19Z",,"EXCLUDED","1 no single merged fixing PR (count=0)","YAML import of channelized interface templates raises a server error"
"23027","2026-08-26T13:44:50Z","23028","SURVIVOR","","Config context cache invalidation ignores the saving database connection"
"22990","2026-08-25T13:06:33Z","23002","SURVIVOR","","Inconsistent bulk edit form declarations prevent fields from being edited or cleared"
"23007","2026-08-24T21:51:46Z","23020","EXCLUDED","2a no test file in diff","Sidenav JavaScript uses a different breakpoint from the responsive layout"
"22978","2026-08-24T20:00:25Z","23017","SURVIVOR","","REST API dispatches events for writes that were rolled back"
"23013","2026-08-24T15:30:39Z","23014","SURVIVOR","","Saving a Location propagates its site assignment to all descendant objects even when the site has not changed"
"22876","2026-08-21T12:12:57Z",,"EXCLUDED","4d not closed-as-completed","Platforms list is not sorted by name anymore"
"22985","2026-08-20T19:14:55Z","22986","SURVIVOR","","Data file contents should be exempt from browser cache"
"22930","2026-08-20T18:41:56Z","22997","EXCLUDED","2a no test file in diff","SideNav skips responsive initialization at exactly 1200px"
"22934","2026-08-20T17:32:29Z","22974","SURVIVOR","","UI views leak queued events when a write transaction is rolled back"
"22972","2026-08-20T12:51:45Z",,"EXCLUDED","1 no single merged fixing PR (count=0)","deserialize_object() results cannot be saved under Django 6.1: NetBoxTaggableManager has no set_base()`"
"22982","2026-08-19T20:36:39Z","22984","SURVIVOR","","module_bay_types cannot be written via the REST API"
"22953","2026-08-19T20:06:55Z","22964","SURVIVOR","","Custom Script log messages are missing from `runscript` output"
"22961","2026-08-19T19:47:31Z","22983","SURVIVOR","","Unable to Multiple assign Module Bay Types"
